trip_id	trajet	duree
OCESN016840F1201216363	Gare de Lyon-Perrache - Gare de Tours	366
OCESN016840F1601616364	Gare de Lyon-Perrache - Gare de Nevers	211
OCESN017301F0200216375	Gare de Latour-de-Carol-Enveitg - Gare de Villefranche-Vernet-l.B	174
OCESN017303F0200216376	Gare de Font-Romeu-Odeillo-Via - Gare de Villefranche-Vernet-l.B	88
OCESN017350F0300316385	Gare de Briançon - Gare de Romans-Bourg-de-Péage	241
OCESN017352F0800816391	Gare de Briançon - Gare de Veynes-Dévoluy	97
OCESN017354F0200216399	Gare de Romans-Bourg-de-Péage - Gare de Veynes-Dévoluy	153
OCESN017369F0700716416	Gare de Gap - Gare de Romans-Bourg-de-Péage	172
OCESN017369F1001016420	Gare de Briançon - Gare de Gap	75
OCESN017370F0200216422	Gare de Briançon - Gare de Valence-Ville	247
OCESN017402F2102116431	Gare de Briançon - Gare de Marseille-St-Charles	302
OCESN017408F1001016439	Gare de Gap - Gare de Marseille-St-Charles	216
OCESN017421F2402416443	Gare de Aix-en-Provence - Gare de Marseille-St-Charles	50
OCESN017473F0300316464	Gare de Marseille-St-Charles - Gare de Nice-Ville	159
OCESN017473F0400416463	Gare de Les Arcs-Draguignan - Gare de Marseille-St-Charles	83
OCESN017500F0200216492	Gare de Grenoble - Gare de Valence-Ville	74
OCESN017503F0300316493	Gare de Chambéry-Chal.-les-Eaux - Gare de Valence-Ville	125
OCESN017506F0700716496	Gare de Annecy - Gare de Valence-Ville	181
OCESN017516F0500516499	Gare de Annecy - Gare de Chambéry-Chal.-les-Eaux	53
OCESN017532F0900916508	Gare de Annecy - Gare de Avignon-Centre	277
OCESN017544F0800816517	Gare de Annecy - Gare de Grenoble	103
OCESN017600F0300316547	Gare de Grenoble - Gare de Lyon-Part-Dieu	82
OCESN017702F1301316607	Gare de Avignon-Centre - Gare de Lyon-Part-Dieu	141
OCESN017704F2702716611	Gare de Lyon-Part-Dieu - Gare de Marseille-St-Charles	246
OCESN017714F1501516644	Gare de Avignon-Centre - Gare de Marseille-St-Charles	78
OCESN017750F1401416694	Gare de Dijon-Ville - Gare de Paris-Bercy	171
OCESN017750F2702716692	Gare de Dijon-Ville - Gare de Paris-Gare-de-Lyon	170
OCESN017751F0800816699	Gare de Lyon-Part-Dieu - Gare de Sens	262
OCESN017753F1901916708	Gare de Lyon-Part-Dieu - Gare de Paris-Bercy	308
OCESN017753F4304316713	Gare de Dijon-Ville - Gare de Lyon-Part-Dieu	124
OCESN017753F4804816704	Gare de Lyon-Part-Dieu - Gare de Paris-Gare-de-Lyon	309
OCESN017754F2002016721	Gare de Mâcon-Ville - Gare de Paris-Bercy	262
OCESN017754F2602616715	Gare de Dijon-Ville - Gare de Mâcon-Ville	74
OCESN017754F4004016716	Gare de Mâcon-Ville - Gare de Paris-Gare-de-Lyon	263
OCESN017774F1301316842	Gare de Lyon-Perrache - Gare de Paris-Bercy	324
OCESN017775F2502516851	Gare de Dijon-Ville - Gare de Lyon-Perrache	137
OCESN017775F2902916854	Gare de Lyon-Perrache - Gare de Paris-Gare-de-Lyon	323
OCESN017972F0600616926	Gare de Bourg-St-Maurice - Gare de Lyon-Part-Dieu	217
OCESN017974F0300316929	Gare de Bourg-St-Maurice - Gare de Bourgoin-Jallieu	188
OCESN017974F0600616927	Gare de Albertville - Gare de Bourgoin-Jallieu	119
OCESN018000F0100116931	Gare de Chambéry-Chal.-les-Eaux - Gare de Lyon-Part-Dieu	80
OCESN018024F0100116954	Gare de Bourgoin-Jallieu - Gare de Chambéry-Chal.-les-Eaux	55
OCESN018101F0200216959	Gare de La Chaux-de-Fonds - Gare de Morteau	29
OCESN018108F0200216966	Gare de Besançon-Viotte - Gare de La Chaux-de-Fonds	118
OCESN018108F0600616967	Gare de Besançon-Mouillère - Gare de La Chaux-de-Fonds	112
OCESN018120F0200216981	Gare de Pontarlier - Gare de Vallorbe-Cff	33
OCESN018122F0200216982	Gare de Frasne - Gare de Neuchâtel	60
OCESN018124F0300316985	Gare de Neuchâtel - Gare de Travers	22
OCESN018130F0100116991	Gare de Dole-Ville - Gare de Vallorbe-Cff	63
OCESN018131F0200216992	Gare de Frasne - Gare de Vallorbe-Cff	17
OCESN018160F0200216999	Gare de Delémont - Gare de Meroux	69
OCESN018160F0300316998	Gare de Delle - Gare de Delémont	52
OCESN018163F0300317001	Gare de Biel - Gare de Meroux	99
OCESN018163F0400417000	Gare de Biel - Gare de Delle	82
OCESN018518F0100117063	Gare de Lyon-Part-Dieu - Gare de Modane	182
OCESN018520F0100117065	Gare de Aix-les-Bains-le-Revard - Gare de Lyon-Part-Dieu	78
OCESN018901F0100117119	Gare de St-Gervais-L-B-Le-Fayet - Gare de Vallorcine	95
OCESN018901F0400417120	Gare de Chamonix-Mont-Blanc - Gare de Vallorcine	33
OCESN018931F0200217178	Gare de Chamonix-Mont-Blanc - Gare de St-Gervais-L-B-Le-Fayet	45
OCESN019201F0300317199	Gare de Aulnoye Aymeries - Gare de Mons	28
OCESN019701F0200217207	Gare de Courtrai/Kortrijk - Gare de Lille Flandres	36
OCESN019801F0200217254	Gare de Maubeuge - Gare de Namur	84
OCESN019900F0200217263	Gare de Lille Flandres - Gare de Tournai	30
OCESN021703F0100117430	Gare de Brive-la-Gaillarde - Gare de Ussel	106
OCESN021901F0200217431	Gare de Dijon-Ville - Gare de Nevers	203
OCESN021911F0200217435	Gare de Le Creusot - Gare de Montchanin	11
OCESN022945F0300317449	Gare de Nice-Ville - Gare de Tende	137
OCESN022947F0700717451	Gare de Breil-sur-Roya - Gare de Nice-Ville	70
OCESN023101F0100117467	Gare de Annemasse - Gare de Coppet	51
OCESN023196F0100117538	Gare de Decize - Gare de Nevers	33
OCESN023212F0100117551	Gare de Annemasse - Gare de Genève	23
OCESN023312F0100117644	Gare de Coppet - Gare de Evian-les-Bains	94
OCESN023314F0100117646	Gare de Coppet - Gare de Thonon-les-Bains	85
OCESN023360F0200217661	Gare de Annemasse - Gare de Thonon-les-Bains	33
OCESN023410F0100117673	Gare de Annecy - Gare de Genève	89
OCESN023410F0200217674	Gare de Annecy - Gare de Coppet	117
OCESN023416F0300317685	Gare de Coppet - Gare de La Roche-sur-Foron	79
OCESN023456F0100117742	Gare de Coppet - Gare de St-Gervais-L-B-Le-Fayet	132
OCESN023462F0200217748	Gare de Cluses (Hte-Savoie) - Gare de Coppet	108
OCESN023722F0300317768	Gare de Forbach - Gare de Metz-Ville	47
OCESN023740F0400417808	Gare de Bening - Gare de Metz-Ville	41
OCESN030000R0200217969	Bitche - Gare de Haguenau	69
OCESN030001R0300317970	Bitche - Gare de Niederbronn	26
OCESN030002R0300317973	Bitche-Camp - Gare de Niederbronn	38
OCESN030006R0200217979	Gare de Haguenau - Gare de Niederbronn	40
OCESN030030R0400418029	Bitche-Camp - Gare de Haguenau	76
OCESN030052R0200218051	Gare de Haguenau - Gare de Strasbourg	50
OCESN030064R0200218057	Gare de Haguenau - Gare de Wissembourg	37
OCESN030081R0600618069	Bouxwiller-Schattenmann - Haguenau-Moulin-Neuf.	43
OCESN030082R0500518070	Gare de Saverne - Niedermodern/Uberach	50
OCESN030083R0200218071	Gare de Ingwiller - Haguenau-Moulin-Neuf.	41
OCESN030085R1201218074	Dossenheim-(Mairie) - Haguenau-Moulin-Neuf.	69
OCESN030086R0200218075	Gare de Obermodern - Saverne-(Ht-Barr)	47
OCESN030088R0200218077	Gare de Ingwiller - Saverne-(Ht-Barr)	56
OCESN030089R0700718078	Gare de Saverne - Haguenau-Moulin-Neuf.	81
OCESN030091R0200218080	Bouxwiller-Babenhausen - Dossenheim-(Mairie)	20
OCESN030092R0300318082	Bouxwiller-Schattenmann - Niedermodern/Uberach	25
OCESN030095R0500518086	Bouxwiller-Schattenmann - Gare de Obermodern	10
OCESN030097R0800818089	Gare de Obermodern - Haguenau-Moulin-Neuf.	31
OCESN030099R1301318093	Gare de Obermodern - Gare de Saverne	36
OCESN030100R0400418095	Gare de Obermodern - Niedermodern/Uberach	12
OCESN030103R0400418103	Bouxwiller-Babenhausen - Niedermodern/Uberach	20
OCESN030122R0600618127	Dossenheim-(Mairie) - Gare de Obermodern	23
OCESN030123R0200218128	Gare de Saverne - Neuwiller-R.-Bouxwiller	18
OCESN030137R0300318141	Gare de Obermodern - Pfaffenhoffen-(Mairie).	8
OCESN030138R0500518142	Gare de Saverne - Pfaffenhoffen-(Mairie).	43
OCESN030148R0200218147	Gare de Strasbourg - Gare de Sélestat	53
OCESN030150R0200218149	Gare de Benfeld - Gare de Strasbourg	42
OCESN030157R0300318151	Gare de Colmar - Gare de Raedersheim	45
OCESN030163R0400418153	Buswiller-Eglise - Gare de Mommenheim	19
OCESN030164R0400418154	Ettendorf-Pl,-de-L'ecol - Gare de Mommenheim	15
OCESN030165R0400418155	Ettendorf-(Angle-Pont) - Gare de Mommenheim	13
OCESN030166R0300318156	Bouxwiller-Babenhausen - Gare de Mommenheim	30
OCESN030190R0200218175	Gare de Diemeringen - Gare de Sarreguemines	31
OCESN030191R0200218176	Gare de Sarreguemines - Gare de Strasbourg	125
OCESN030192R0300318178	Gare de Diemeringen - Gare de Strasbourg	91
OCESN030194R0200218180	Gare de Strasbourg - Gare de Wingen-sur-Moder	64
OCESN030200R0600618181	Gare de Ingwiller - Reipertswiller-SP.	18
OCESN030201R0500518183	Gare de Ingwiller - Lichtenberg-(Eglise).	23
OCESN030222R0200218199	Gare de Saverne - Gare de Strasbourg	57
OCESN030234R0400418205	Gare de Lutzelbourg - Gare de Saverne	15
OCESN030241R0200218207	Gare de Kruth - Thann Arrêt La Poste	32
OCESN030242R0200218208	Gare de Kruth - Gare de Mulhouse	77
OCESN030244R0200218210	Gare de Kruth - Gare de Thann	32
OCESN030250R0200218216	Gare de Kruth - Gare de Wesserling	7
OCESN030273R0300318231	Gare de Colmar - Gare de Metzeral	43
OCESN030283R0300318235	Gare de Cernay (Haut-Rhin) - Sewen-(Eglise)	60
OCESN030283R0400418236	Cernay-(Lycée) - Sewen-(Eglise)	66
OCESN030290R0200218239	Gare de Basel-SBB - Gare de Mulhouse	60
OCESN030302R0200218245	Gare de Ingwiller - Saverne-(Lycée-Verne)	64
OCESN030303R0300318247	Frohmuhl- (Lavoir) - Saverne-(Ht-Barr)	83
OCESN030303R0400418246	Frohmuhl- (Lavoir) - Gare de Saverne	58
OCESN030304R0300318249	Frohmuhl- (Lavoir) - Saverne-(Lycée-Verne)	85
OCESN030315R0300318255	Gare de Saverne - Hattmatt-S.-Polyvalente	20
OCESN030318R0200218258	Hattmatt-S.-Polyvalente - Saverne-(Pl.-Dragons)	33
OCESN030319R0400418259	Hattmatt-S.-Polyvalente - Saverne-(Lycée-Verne)	42
OCESN030320R0200218261	Hattmatt-S.-Polyvalente - Saverne-(Ht-Barr)	43
OCESN030342R0300318275	Gare de Herrlisheim (Bas-Rhin) - Gare de Strasbourg	51
OCESN030344R0400418278	Gare de Lauterbourg - Gare de Roeschwoog	30
OCESN030354R0200218282	Gare de Entzheim-Aéroport - Gare de Strasbourg	20
OCESN030355R0200218283	Gare de Barr - Gare de Molsheim	33
OCESN030357R0200218285	Gare de Molsheim - Gare de Strasbourg	40
OCESN030360R0200218288	Gare de Barr - Gare de Strasbourg	89
OCESN030361R0200218289	Gare de Molsheim - Gare de Sélestat	76
OCESN030376R0500518295	Gare de Rothau - Gare de Strasbourg	72
OCESN030380R0200218297	Gare de Saales - Gare de Strasbourg	104
OCESN030385R0300318299	Gare de Altkirch - Gare de Mulhouse	25
OCESN030386R0300318300	Gare de Belfort-Ville - Gare de Mulhouse	77
OCESN030387R0200218301	Gare de Belfort-Ville - Gare de Montreux-Vieux	30
OCESN030395R0200218303	Gare de Sélestat - Ribeauville-Gare-Routiè	20
OCESN030399R0300318309	Gare de Sélestat - Riquewihr-Poste	36
OCESN030427R1401418342	Gare de Sélestat - Ste-Marie-/-Mines-Maire	35
OCESN030428R1301318344	Gare de St-Dié-des-Vosges - Gare de Sélestat	71
OCESN030430R0600618347	Gare de Sélestat - Ste-Marie/-Ms-(-Théâtre	36
OCESN030433R0300318351	Ste-Croix/Mines-Sq-de-G - Sèlestat-(Schwilgué)	55
OCESN030434R1401418352	Gare de Sélestat - Ste-Marie-/-Ms-Pl-.CdG	35
OCESN030435R0600618353	Ste-Marie-/-Mines-Maire - Sèlestat-(Schwilgué)	64
OCESN030437R0300318355	Liepvre-(-R.-GUTH-) - Sèlestat-(Schwilgué)	49
OCESN030440R0400418359	Ste-Marie-/-Ms-Pl-.CdG - Sélestat-(Schweisguth)	69
OCESN030441R0400418360	Gare de Sélestat - Lièpvre-(Rte-Vancelle)	45
OCESN031100R0300318408	Gare de Montluçon-Ville - Gare de Vierzon	125
OCESN031101R0200218409	Laqueuille - Le-Mont-Dore-Gare	24
OCESN031102R0200218410	Gare de Clermont-Ferrand - Gare de Gannat	57
OCESN031103R0200218411	Gare de Gannat - Gare de Riom-Châtel-Guyon	46
OCESN031106R0300318414	Gare de Aurillac - Gare de St-Denis-près-Martel	111
OCESN031107R0300318415	Gare de Aurillac - Gare de Capdenac	88
OCESN031109R0200218416	Gare de Montluçon-Ville - Gare de Vichy	108
OCESN031110R0300318417	Gare de Clermont-Ferrand - Le-Mont-Dore-Gare	84
OCESN031111R0200218418	Gare de Clermont-Ferrand - Saint-Etienne-Chtx GR	156
OCESN031113R0300318421	Gare de Thiers - Saint-Etienne-Chtx GR	118
OCESN031117R0300318425	Gare de Clermont-Ferrand - Gare de Le Puy-en-Velay	184
OCESN031119R0200218427	Gare de Clermont-Ferrand - Gare de Montluçon-Ville	146
OCESN031120R0200218428	Gare de Montluçon-Ville - Gare de Riom-Châtel-Guyon	120
OCESN031121R0200218429	Gare de Arvant - Gare de Aurillac	121
OCESN031125R0200218432	Gare de Moulins-sur-Allier - Gare de Vichy	78
OCESN031127R0200218433	Gare de Clermont-Ferrand - Gare de Thiers	71
OCESN031128R0200218434	Gare de Clermont-Ferrand - Gare de Volvic	39
OCESN031135R0400418436	Ancizes-St-Georges-Bour - Gare de Volvic	39
OCESN031141R0200218442	Gare de Montluçon-Ville - Urcay-Hotel-du-Lyon-d'O	44
OCESN031147R0200218446	Gare de Montluçon-Ville - Gare de St-Amand-Montrond-Orval	59
OCESN031164R0100118462	Gare de Thiers - Gare de Vertaizon	40
OCESN031165R0200218463	Gare de Montluçon-Ville - St-Eloy	40
OCESN031183R0200218476	Gare de Lapeyrouse(Puy-de-Dôme) - St-Eloy-les-Mines-Lycée	20
OCESN031185R0300318478	Ancizes-St-Georges-Bour - Gare de Clermont-Ferrand	69
OCESN031186R0300318479	Gare de Clermont-Ferrand - St-Gervais-Mairie	91
OCESN031189R0200218482	Gare de Clermont-Ferrand - Le Mont Dore Ski	98
OCESN031196R0100118489	Gare de Clermont-Ferrand - Gare de Vertaizon	32
OCESN031197R0200218490	Gare de Volvic - St-Eloy	113
OCESN031200R0200218493	Gare de Arvant - St-Flour-les-Allées	50
OCESN031201R0200218494	Gare de Massiac-Blesle - St-Flour-les-Allées	30
OCESN031202R0200218495	Gare de Arvant - Gare de St-Chély-d'Apcher	77
OCESN031221R0300318508	Gare de Clermont-Ferrand - Mauriac-Lycée-Cortat	136
OCESN031223R0200218509	Gare de Lapeyrouse(Puy-de-Dôme) - St-Eloy	15
OCESN031226R0200218510	Gare de Clermont-Ferrand - Mauriac	133
OCESN031235R0300318513	Gare de Riom-Châtel-Guyon - St-Gervais-Ch-LPA.	54
OCESN031247R0200218521	Gare de Montluçon-Ville - St-Gervais-Ch-LPA.	60
OCESN031254R0300318525	Gare de Neussargues - Riom_Es_M_la_Poste.	69
OCESN031256R0300318528	Gare de Clermont-Ferrand - St-Flour-les-Allées	93
OCESN031263R0200218534	Gare de Neussargues - Gare de St-Chély-d'Apcher	56
OCESN031265R0200218535	Gare de Neussargues - Gare de St-Flour-Chaudes-Aigues	31
OCESN031269R0200218538	Gare de St-Chély-d'Apcher - St-Flour-les-Allées	30
OCESN031274R0200218542	Gare de Massiac-Blesle - Gare de St-Chély-d'Apcher	49
OCESN031290R0300318554	Gare de Volvic - Pontgibaud-Ville	22
OCESN031301R0200218560	Brioude-Lycée-Lafayette - Gare de Brioude	5
OCESN031304R0200218561	Gare de Langeac - Gare de St-Georges-d'Aurac	10
OCESN031309R0400418565	Gare de Langeac - St-George-d'Aurac-Bourg	12
OCESN031332R0400418585	Gare de Brioude - Gare de Langeac	37
OCESN031334R0500518587	Gare de Brioude - Gare de Le Puy-en-Velay	64
OCESN031338R0200218591	Gare de Langeac - Gare de Le Puy-en-Velay	49
OCESN031342R0200218592	Gare de Le Puy-en-Velay - Gare de St-Georges-d'Aurac	53
OCESN031347R0200218596	Gare de Arvant - Gare de Le Puy-en-Velay	81
OCESN031354R0500518600	Gare de Le Puy-en-Velay - Saint-Etienne-Chtx GR	80
OCESN031360R0300318603	Gare de Le Puy-en-Velay - La Chaise-Dieu	47
OCESN031363R0300318606	Ambert - Gare de Le Puy-en-Velay	107
OCESN031394R0400418612	Ambert - Gare de Vichy	119
OCESN031398R0300318613	Gare de Pont-de-Dore - Gare de Vichy	66
OCESN031407R0300318618	Gare de Ussel - Laqueuille	39
OCESN031471R0300318661	Gare de Arvant - Gare de Issoire	46
OCESN031473R0300318662	Gare de Vic-le-Comte - Issoire-Lycée-Deville	30
OCESN031476R0300318663	Gare de Issoire - Le-Breuil-sur-Couze-Lyc	13
OCESN031478R0400418665	Gare de Brioude - Gare de Issoire	54
OCESN031479R0200218666	Gare de Clermont-Ferrand - Gare de Ussel	100
OCESN031552R0200218681	Gare de Luzy(Nièvre) - Gare de Nevers	98
OCESN031554R0200218682	Gare de Cercy-la-Tour - Gare de Nevers	68
OCESN031679R0300318686	Gare de Autun - Gare de Etang	21
OCESN031679R0400418687	Gare de Autun - Gare de Le Creusot	49
OCESN031684R0300318695	Gare de Autun - Gare de Montchanin	62
OCESN031701R0200218722	Gare de Moulins-sur-Allier - Gare de Nevers	68
OCESN031712R0300318726	Gare de Nevers - Gare de St-Pierre-le-Moûtier	33
OCESN031751R0200218729	Gare de Moulins-sur-Allier - Gare de Paray-le-Monial	82
OCESN031784R0200218743	Chauffailles-Gambetta - Gare de Digoin	67
OCESN031786R0200218744	Gare de Digoin - Gare de Lozanne	133
OCESN031860R0200218747	Gare de Louhans - Gare de Seurre	48
OCESN031864R0200218749	Gare de Bourg-en-Bresse - Gare de Seurre	103
OCESN031900R0200218753	Gare de Auxerre-St-Gervais - Gare de Avallon	63
OCESN031950R0200218768	Gare de Auxerre-St-Gervais - Gare de Clamecy	76
OCESN031955R0400418774	Gare de Auxerre-St-Gervais - Gare de Corbigny	111
OCESN031970R0400418785	Gare de Clamecy - Gare de Corbigny	35
OCESN032002R0200218790	Gare de Lorient - Gare de Quimperlé	22
OCESN032300R1101118791	Châteaubriant - Gare de Janzé	57
OCESN032303R1001018793	Châteaubriant - Gare de Retiers	33
OCESN032400R0100118797	Gare de Dinan - Gare de Dol	30
OCESN032850R0200218821	Gare de Valençay - Luçay-le-Male	15
OCESN032857R0200218824	Gare de Romorantin-Blanc-Argent - Gare de Salbris	50
OCESN032861R0200218827	Gare de Faubourg-d'Orléans - Gare de Romorantin-Blanc-Argent	5
OCESN032867R0200218831	Gare de Faubourg-d'Orléans - Gare de Valençay	55
OCESN033001R0200218842	La Ferté-sur-Chiers - Sedan-Place-Calonne	59
OCESN033080R0200218851	Gare de Châlons-en-Champagne - Gare de Verdun	108
OCESN033111R0200218869	Gare de St-Dizier - Gare de Vitry-le-François	51
OCESN033120R0200218873	Gare de Joinville - Gare de St-Dizier	50
OCESN033140R0200218889	Gare de Chaumont - Gare de St-Dizier	123
OCESN033141R0300318890	Gare de Chaumont - Gare de Joinville	77
OCESN033172R0300318904	Gare de Chaumont - Langres-Gendarmerie	67
OCESN033208R0500518910	Gare de Chaumont - Gare de Troyes	100
OCESN033210R0400418913	Gare de Bar-sur-Aube - Juvancourt	32
OCESN033212R0200218914	Gare de Bar-sur-Aube - Gare de Troyes	98
OCESN033215R0200218915	Gare de Troyes - Gare de Vendeuvre (Aube)	55
OCESN033219R0200218919	Bayel-Eglise - Juvancourt	18
OCESN033230R0200218924	Gare de Chaumont - Gare de Vendeuvre (Aube)	60
OCESN033233R0300318925	Gare de Vendeuvre (Aube) - Juvancourt	85
OCESN033270R0300318934	Gare de Chaumont - Ville-sous-La-Ferté	48
OCESN033274R0200218938	Bricon(la Poste) - Gare de Chaumont	19
OCESN033280R0400418944	Gare de St-Florentin-Vergigny - Gare de Troyes	97
OCESN033281R0300318945	Gare de Laroche-Migennes - Gare de Troyes	130
OCESN033340R0300318961	Gare de Romilly-sur-Seine - Gare de Troyes	78
OCESN033345R0200218966	Gare de Troyes - Payns Abri Savières	26
OCESN033370R0200218982	Gare de Nogent-sur-Seine - Gare de Romilly-sur-Seine	35
OCESN033400R0200218990	Gare de Charleville-Mézières - Gare de Hirson	60
OCESN033460R0100119004	Gare de Fismes - Gare de Reims	58
OCESN033531R0200219010	Gare de Aillevillers - Gare de Belfort-Ville	102
OCESN033540R0300319011	Gare de Aillevillers - Gare de Lure	37
OCESN033652R0200219012	Gare de Besançon-Viotte - Gare de Morteau	88
OCESN033654R0200219014	Gare de Le Locle - Gare de Morteau	20
OCESN033658R0200219017	Gare de Le Valdahon - Gare de Morteau	54
OCESN033682R0200219020	Gare de Dole-Ville - Gare de Mouchard	47
OCESN033714R0200219023	Gare de Lons-le-Saunier - Gare de Mouchard	84
OCESN033727R0200219030	Gare de Mouchard - Gare de Poligny	28
OCESN033730R0200219031	Gare de Besançon-Viotte - Gare de Mouchard	58
OCESN033771R0200219032	Gare de Frasne - Gare de Pontarlier	30
OCESN033773R0200219033	Dompierre-Halte-Rout. - Gare de Pontarlier	21
OCESN033782R0200219039	Gare de Pontarlier - Les Granges-Narboz	10
OCESN033803R0200219046	Gare de Frasne - Jougne	56
OCESN033891R0200219057	Gare de Champagnole - Gare de Saint-Claude	87
OCESN033892R0200219058	Gare de Champagnole-PE-Victor - Gare de Dole-Ville	102
OCESN033893R0200219059	Gare de Andelot - Gare de Saint-Claude	107
OCESN033894R0200219060	Gare de Dole-Ville - Gare de Saint-Claude	204
OCESN033895R0200219061	Gare de Mouchard - Gare de Saint-Claude	124
OCESN034001R0200219062	Gare de Alès - Gare de Nîmes	50
OCESN034063R0200219066	Gare de La Bastide-St-Laurent - Gare de Langogne	25
OCESN034065R0200219069	Gare de Langogne - Gare de Mende	90
OCESN034071R0200219075	Gare de La Bastide-St-Laurent - Gare de Mende	68
OCESN034213R0300319079	Gare de Millau - Marvejols Place Chayla	75
OCESN034220R0300319080	Gare de Clermont-Ferrand - Gare de Mende	180
OCESN034240R0300319090	Gare de Le Puy-en-Velay - Gare de Marvejols	135
OCESN034251R0200219093	Gare de Mende - Gare de St-Chély-d'Apcher	84
OCESN034253R0300319095	Gare de La Bastide-St-Laurent - Gare de Marvejols	133
OCESN034256R0200219097	Gare de Mende - Marvejols Place Chayla	50
OCESN034350R0200219101	Gare de Carcassonne - Quillan	90
OCESN034352R0200219103	Gare de Carcassonne - Gare de Limoux	55
OCESN034354R0200219106	Gare de Limoux - Quillan	45
OCESN034400R0200219131	Gare de Bédarieux - Gare de Béziers	60
OCESN034535R0200219143	Gare de Guéret - Gare de Montluçon-Ville	66
OCESN034675R0200219145	Gare de Tulle - Gare de Ussel	89
OCESN034677R0200219147	Gare de Egletons - Gare de Tulle	40
OCESN034680R0200219150	Gare de Egletons - Gare de Meymac	25
OCESN034682R0200219152	Gare de Brive-la-Gaillarde - Gare de Egletons	63
OCESN034726R0200219154	Bort-les-Orgues - Gare de Ussel	35
OCESN035000R0700719173	Gare de Nancy-Ville - Mirecourt	74
OCESN035001R0400419174	Martigny-les-B-Thiebaut - Vézelise Beauregard	90
OCESN035002R0500519175	Damblain Eglise - Gare de Nancy-Ville	150
OCESN035003R0400419176	Gare de Contrexéville - Gare de Nancy-Ville	116
OCESN035004R0200219177	Gare de Contrexéville - Mirecourt	39
OCESN035006R0200219179	Gare de Vittel - Mirecourt	26
OCESN035020R0400419193	Gare de Nancy-Ville - Martigny-les-B-Thiebaut	133
OCESN035026R0500519199	Gare de Nancy-Ville - Gare de Vittel	92
OCESN035031R0500519204	Gare de Nancy-Ville - Mirecourt (Lycée Agric)	71
OCESN035041R0600619205	Gare de Bening - Gare de Sarreguemines	34
OCESN035073R0600619227	Bitche-Quartier-Driant - Gare de Bening	71
OCESN035100R0200219234	Gare de Charmes (Vosges) - Gare de Vittel	60
